#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.13980001E+01  0.41473810E-01  0.88656479E-01  0.12590338E+00  0.87322991E-01  0.41233977E-01
 0.14040001E+01  0.42007905E-01  0.89413393E-01  0.12642716E+00  0.87270216E-01  0.41764252E-01
 0.14100001E+01  0.42546550E-01  0.90173448E-01  0.12695063E+00  0.87216775E-01  0.42299009E-01
 0.14160001E+01  0.43089764E-01  0.90936643E-01  0.12747378E+00  0.87162663E-01  0.42838264E-01
 0.14220001E+01  0.43637566E-01  0.91702976E-01  0.12799660E+00  0.87107875E-01  0.43382036E-01
 0.14280001E+01  0.44189975E-01  0.92472445E-01  0.12851909E+00  0.87052404E-01  0.43930341E-01
 0.14340001E+01  0.44747011E-01  0.93245047E-01  0.12904124E+00  0.86996247E-01  0.44483197E-01
 0.14400001E+01  0.45308690E-01  0.94020782E-01  0.12956306E+00  0.86939398E-01  0.45040621E-01
 0.14460001E+01  0.45875033E-01  0.94799647E-01  0.13008453E+00  0.86881850E-01  0.45602632E-01
 0.14520001E+01  0.46446058E-01  0.95581640E-01  0.13060566E+00  0.86823600E-01  0.46169245E-01
 0.14580001E+01  0.47021784E-01  0.96366758E-01  0.13112643E+00  0.86764640E-01  0.46740478E-01
 0.14640001E+01  0.47602229E-01  0.97155000E-01  0.13164685E+00  0.86704967E-01  0.47316349E-01
 0.14700001E+01  0.48187413E-01  0.97946364E-01  0.13216691E+00  0.86644575E-01  0.47896874E-01
 0.14760001E+01  0.48777354E-01  0.98740846E-01  0.13268660E+00  0.86583458E-01  0.48482071E-01
 0.14820001E+01  0.49372071E-01  0.99538446E-01  0.13320593E+00  0.86521611E-01  0.49071957E-01
